@relation robots

@attribute distanciaInimigo numeric
@attribute velocidadeLateral numeric
@attribute potenciaBala {0.5,3.0}
@attribute anguloArmaAtual numeric
@attribute anguloAbsolutoInimigo numeric
@attribute anguloArmaPreditor numeric
@attribute acertou {SIM,NAO}

@data
100.0,-5.93,3.0,5.54,-0.45,-0.1,NAO
550.0,-7.82,0.5,3.82,4.16,-0.02,NAO
150.0,5.64,3.0,4.19,3.93,-0.0,NAO
350.0,-3.7,3.0,4.93,-1.22,-0.03,NAO
350.0,-0.0,3.0,4.55,4.58,0.03,NAO
450.0,-6.85,0.5,4.43,4.49,-0.25,NAO
500.0,-7.86,0.5,3.92,4.55,0.27,NAO
350.0,-7.82,3.0,0.33,0.68,-0.01,SIM
500.0,-2.48,3.0,0.77,0.83,-0.05,NAO
150.0,0.35,3.0,0.64,0.69,0.07,NAO
250.0,0.0,3.0,0.7,0.72,0.02,NAO
150.0,0.71,3.0,0.54,0.52,0.03,NAO
150.0,7.32,3.0,1.08,0.76,0.01,NAO
150.0,-3.41,3.0,5.65,-0.44,0.04,NAO
150.0,2.61,3.0,0.47,0.26,-0.04,NAO
150.0,5.17,3.0,4.24,4.01,0.0,SIM
150.0,5.41,3.0,4.22,3.97,-0.0,NAO
150.0,-0.27,3.0,4.16,4.16,-0.02,SIM
150.0,-0.0,3.0,3.94,3.94,0.0,SIM
150.0,0.95,3.0,5.08,-1.25,-0.0,SIM
150.0,5.33,3.0,5.87,-0.73,0.04,NAO
500.0,4.88,3.0,5.98,0.77,1.3,NAO
100.0,0.73,3.0,0.86,-1.48,-2.29,NAO
150.0,-4.06,0.5,2.87,3.03,-0.02,NAO
450.0,1.88,3.0,4.79,4.74,0.04,NAO
